s.no,max phase,lattice para ( amstong),,,,oxidation rate,avg EN,most EN ,density ,volume of sample,total mass ( density *vol) (10^-6 kg),molar mass ,Moles,formation enthalpy (per mole),total delh (-ve) (kJ)
1,Ti3AlC2 ,3.07,3.07,18.62,hrs, 1400C,1.88,2.55,4.5,3 4 15 mm,810,194.6,4.162,-0.762 eV/atom,305.98
,,,,,3.81166,0.0168,,,,,,,,,
,,,,,6.50224,0.0216,,,,,,,,,
,,,,,8.29596,0.0241,,,,,,,,,
,,,,,10.53812,0.0269,,,,,,,,,
,,,,,13.2287,0.0295,,,,,,,,,
,,,,,15.02242,0.0315,,,,,,,,,
,,,,,16.81614,0.0325,,,,,,,,,
,,,,,18.16143,0.0336,,,,,,,,,
,,,,,0.58296,0.0055,,,,,,,,,
,,,,,1.47982,0.01,,,,,,,,,
,,,,,2.37668,0.01292,,,,,,,,,
,,,,,hrs,1300C,,,,,,,,,
,,,,,9.77578,0.0070833,,,,,,,,,
,,,,,12.46637,0.0078125,,,,,,,,,
,,,,,15.15695,0.0084375,,,,,,,,,
,,,,,17.3991,0.0088542,,,,,,,,,
,,,,,18.74439,0.0090625,,,,,,,,,
,,,,,0.58296,0.0020833,,,,,,,,,
,,,,,2.37668,0.0039583,,,,,,,,,
,,,,,5.5157,0.0057292,,,,,,,,,
,,,,,7.30942,0.0063542,,,,,,,,,
,,,,,hrs,1200 C,,,,,,,,,
,,,,,1.43498,0.0019792,,,,,,,,,
,,,,,2.78027,0.0028125,,,,,,,,,
,,,,,4.12556,0.0033333,,,,,,,,,
,,,,,5.47085,0.0036458,,,,,,,,,
,,,,,6.81614,0.0039583,,,,,,,,,
,,,,,8.60987,0.0042708,,,,,,,,,
,,,,,9.95516,0.0045833,,,,,,,,,
,,,,,12.19731,0.005,,,,,,,,,
,,,,,13.99103,0.0052083,,,,,,,,,
,,,,,16.23318,0.0055208,,,,,,,,,
,,,,,18.02691,0.005625,,,,,,,,,
,,,,,hrs,1000 C,,,,,,,,,
,,,,,1.30045,0.0007292,,,,,,,,,
,,,,,2.19731,0.0008333,,,,,,,,,
,,,,,3.5426,0.0010417,,,,,,,,,
,,,,,5.33632,0.00125,,,,,,,,,
,,,,,7.35426,0.0014583,,,,,,,,,
,,,,,10.04484,0.0016667,,,,,,,,,
,,,,,11.83857,0.0017708,,,,,,,,,
,,,,,14.97758,0.001875,,,,,,,,,
,,,,,17.21973,0.001875,,,,,,,,,
,,,,,19.46188,0.0019792,,,,,,,,,
2,Ti2GeC,3.09,3.09,12.92,hrs, 800C,1.91,2.55,5.62,4* 4 *10 mm3,899.2,180.38,4.985,-0.809 eV/atom,389.091
,,,,,89.76378,0.04406,,,,,,,,,
,,,,,137.00787,0.06516,,,,,,,,,
,,,,,184.25197,0.08578,,,,,,,,,
,,,,,207.87402,0.09281,,,,,,,,,
,,,,,229.13386,0.09891,,,,,,,,,
,,,,,252.75591,0.10875,,,,,,,,,
,,,,,106.29921,0.05203,,,,,,,,,
,,,,,73.22835,0.03609,,,,,,,,,
,,,,,35.43307,0.01922,,,,,,,,,
,,,,,59.05512,0.02859,,,,,,,,,
,,,,,132.28346,0.06328,,,,,,,,,
,,,,,hrs,700C,,,,,,,,,
,,,,,247.05882,0.03529,,,,,,,,,
,,,,,270.58824,0.03812,,,,,,,,,
,,,,,327.05882,0.04612,,,,,,,,,
,,,,,350.58824,0.04988,,,,,,,,,
,,,,,383.52941,0.05553,,,,,,,,,
,,,,,454.11765,0.06776,,,,,,,,,
,,,,,477.64706,0.072,,,,,,,,,
,,,,,411.76471,0.06024,,,,,,,,,
,,,,,hrs,600C,,,,,,,,,
,,,,,185.44601,0.00562,,,,,,,,,
,,,,,279.34272,0.00562,,,,,,,,,
,,,,,302.8169,0.00562,,,,,,,,,
,,,,,396.71362,0.00562,,,,,,,,,
,,,,,124.41315,0.00562,,,,,,,,,
,,,,,107.98122,0.00422,,,,,,,,,
,,,,,72.76995,9.38E-04,,,,,,,,,
,,,,,96.24413,0.00328,,,,,,,,,
,,,,,15.81152,0.68966,,,,,,,,,
,,,,,17.8534,0.72727,,,,,,,,,
,,,,,18.84817,0.74922,,,,,,,,,
3,Ti3SiC2 (93% pure),3.07,3.07,17.69,hrs,1200C,1.93,2.55,4.5,10* 3 *4 mm3,540,195.71,2.759,-0.812 eV/atom,216.145
,,,,,8.16754,0.24451,,,,,,,,,
,,,,,12.19895,0.33542,,,,,,,,,
,,,,,12.72251,0.34796,,,,,,,,,
,,,,,16.43979,0.4232,,,,,,,,,
,,,,,18.2199,0.45455,,,,,,,,,
,,,,,5.60209,0.17555,,,,,,,,,
,,,,,2.72251,0.10031,,,,,,,,,
,,,,,10.05236,0.2884,,,,,,,,,
,,,,,14.50262,0.38558,,,,,,,,,
,,,,,hrs,1100C,,,,,,,,,
,,,,,8.48168,0.11285,,,,,,,,,
,,,,,14.18848,0.15047,,,,,,,,,
,,,,,11.46597,0.13166,,,,,,,,,
,,,,,16.70157,0.16301,,,,,,,,,
,,,,,5.70681,0.08777,,,,,,,,,
,,,,,18.32461,0.17241,,,,,,,,,
,,,,,3.56021,0.00313,,,,,,,,,
,,,,,9.73822,0.00313,,,,,,,,,
,,,,,hrs,1000C,,,,,,,,,
,,,,,8.45953,0.02208,,,,,,,,,
,,,,,7.93734,0.02208,,,,,,,,,
,,,,,6.89295,0.01893,,,,,,,,,
,,,,,6.37076,0.01577,,,,,,,,,
,,,,,5.84856,0.01893,,,,,,,,,
,,,,,hrs,900C,,,,,,,,,
,,,,,7.19332,0.00313,,,,,,,,,
,,,,,10.86874,0.00627,,,,,,,,,
,,,,,11.91885,0.00627,,,,,,,,,
,,,,,12.96897,0.00627,,,,,,,,,
,,,,,14.54415,0.0094,,,,,,,,,
,,,,,15.59427,0.0094,,,,,,,,,
,,,,,16.64439,0.0094,,,,,,,,,
,,,,,18.53461,0.01254,,,,,,,,,
4,Ti2AlC,3.06,3.06,13.69,hrs,1100C,1.81,2.55,4.04,3.5 × 3.5 × 3.5 mm3,173.215,134.73,1.2856,-0.700 eV/atom,86.824
,,,,,5.49242,0.1335,,,,,,,,,
,,,,,9.2803,0.17877,,,,,,,,,
,,,,,12.43687,0.2133,,,,,,,,,
,,,,,17.99242,0.2578,,,,,,,,,
,,,,,19.88636,0.26854,,,,,,,,,
,,,,,21.14899,0.27928,,,,,,,,,
,,,,,22.41162,0.28772,,,,,,,,,
,,,,,2.2096,0.06598,,,,,,,,,
,,,,,3.47222,0.10205,,,,,,,,,
,,,,,1.19949,0.03376,,,,,,,,,
,,,,,16.28788,0.24629,,,,,,,,,
,,,,,8.20707,0.16419,,,,,,,,,
,,,,,10.98485,0.19719,,,,,,,,,
,,,,,14.20455,0.23248,,,,,,,,,
,,,,,hrs,1000C,,,,,,,,,
,,,,,6.18687,0.0821,,,,,,,,,
,,,,,11.55303,0.12123,,,,,,,,,
,,,,,13.44697,0.13043,,,,,,,,,
,,,,,14.07828,0.13581,,,,,,,,,
,,,,,15.97222,0.14425,,,,,,,,,
,,,,,17.42424,0.15192,,,,,,,,,
,,,,,18.68687,0.15882,,,,,,,,,
,,,,,20.58081,0.16573,,,,,,,,,
,,,,,22.15909,0.17494,,,,,,,,,
,,,,,23.42172,0.17877,,,,,,,,,
,,,,,1.83081,0.03223,,,,,,,,,
,,,,,2.46212,0.04143,,,,,,,,,
,,,,,4.35606,0.06368,,,,,,,,,
,,,,,8.71212,0.10128,,,,,,,,,
,,,,,9.34343,0.10512,,,,,,,,,
,,,,,hrs,900C,,,,,,,,,
,,,,,5.17677,0.02379,,,,,,,,,
,,,,,2.14646,0.01151,,,,,,,,,
,,,,,6.94444,0.03223,,,,,,,,,
,,,,,10.10101,0.0445,,,,,,,,,
,,,,,11.36364,0.05064,,,,,,,,,
,,,,,12.62626,0.05448,,,,,,,,,
,,,,,13.25758,0.05831,,,,,,,,,
,,,,,14.5202,0.06138,,,,,,,,,
,,,,,16.98232,0.07059,,,,,,,,,
,,,,,18.87626,0.07596,,,,,,,,,
,,,,,19.50758,0.07826,,,,,,,,,
,,,,,20.13889,0.0798,,,,,,,,,
,,,,,21.40152,0.08286,,,,,,,,,
,,,,,22.03283,0.08517,,,,,,,,,
,,,,,23.29545,0.0867,,,,,,,,,
,,,,,7.70202,0.03453,,,,,,,,,
,,,,,8.33333,0.03683,,,,,,,,,
,,,,,hrs,800C,,,,,,,,,
,,,,,16.60354,0.01688,,,,,,,,,
,,,,,18.49747,0.01688,,,,,,,,,
,,,,,20.39141,0.01688,,,,,,,,,
,,,,,21.02273,0.01765,,,,,,,,,
,,,,,10.4798,0.01151,,,,,,,,,
,,,,,12.37374,0.01304,,,,,,,,,
,,,,,13.63636,0.01228,,,,,,,,,
,,,,,14.89899,0.01304,,,,,,,,,
,,,,,5.36616,0.00384,,,,,,,,,
,,,,,5.99747,0.0046,,,,,,,,,
,,,,,7.2601,0.0046,,,,,,,,,
,,,,,8.64899,0.00691,,,,,,,,,
,,,,,22.7904,0.02072,,,,,,,,,
,,,,,23.42172,0.02148,,,,,,,,,
5,Ti3GeC2,3.09,3.09,17.81,hrs,800C,1.955,2.55,5.41,2*2*8 mm3,173.12,240.26,0.72,-0.840 eV/atom,58.35
,,,,,18.56061,0.0435811,,,,,,,,,
,,,,,8.25758,0.0265541,,,,,,,,,
,,,,,11.36364,0.0310135,,,,,,,,,
,,,,,12.12121,0.0308108,,,,,,,,,
,,,,,19.92424,0.0512838,,,,,,,,,
,,,,,6.9697,0.0227027,,,,,,,,,
,,,,,16.13636,0.0405405,,,,,,,,,
,,,,,16.13636,0.0397297,,,,,,,,,
,,,,,25.68182,0.0595946,,,,,,,,,
,,,,,13.71212,0.0370946,,,,,,,,,
,,,,,3.71212,0.0184459,,,,,,,,,
,,,,,22.04545,0.0563514,,,,,,,,,
,,,,,hrs,700C,,,,,,,,,
,,,,,16.06061,0.0210811,,,,,,,,,
,,,,,18.0303,0.0210811,,,,,,,,,
,,,,,25.98485,0.0206757,,,,,,,,,
,,,,,21.66667,0.0194595,,,,,,,,,
,,,,,30.68182,0.0208784,,,,,,,,,
,,,,,35.30303,0.0208784,,,,,,,,,
,,,,,4.84848,0.0121622,,,,,,,,,
,,,,,7.12121,0.0147973,,,,,,,,,
,,,,,2.19697,0.009527,,,,,,,,,
,,,,,10.68182,0.0180405,,,,,,,,,
,,,,,hrs,900C,,,,,,,,,
,,,,,8.40909,0.01098649,,,,,,,,,
,,,,,3.25758,0.0689189,,,,,,,,,
,,,,,1.36364,0.0308108,,,,,,,,,
,,,,,2.12121,0.0541216,,,,,,,,,
,,,,,5.75758,0.0936486,,,,,,,,,
,,,,,7.27273,0.01005405,,,,,,,,,
,,,,,4.31818,0.0855405,,,,,,,,,
,,,,,2.80303,0.0628378,,,,,,,,,
,,,,,0.15152,0.0081081,,,,,,,,,
,,,,,1.89394,0.0417568,,,,,,,,,
6,Ti2AlN,2.98,2.98,13.62,hrs,900C,1.9325,3.04,4.33,20 mm * 20 mm * 5.5 micro,9.526,136.72,0.0697,-1.286 eV/atom,8.6448
,,,,,69.82759,0.0087059,,,,,,,,,
,,,,,87.06897,0.0097059,,,,,,,,,
,,,,,46.55172,0.0072353,,,,,,,,,
,,,,,55.17241,0.0077647,,,,,,,,,
,,,,,18.96552,0.0054706,,,,,,,,,
,,,,,33.33333,0.0063529,,,,,,,,,
,,,,,5.74713,0.0021765,,,,,,,,,
,,,,,8.62069,0.0032941,,,,,,,,,
,,,,,14.08046,0.0045294,,,,,,,,,
,,,,,95.97701,0.0102353,,,,,,,,,
,,,,,hrs,800C,,,,,,,,,
,,,,,72.70115,0.0048824,,,,,,,,,
,,,,,84.1954,0.0051765,,,,,,,,,
,,,,,35.34483,0.0036471,,,,,,,,,
,,,,,46.83908,0.0041176,,,,,,,,,
,,,,,61.2069,0.0043529,,,,,,,,,
,,,,,14.08046,0.0024118,,,,,,,,,
,,,,,25.57471,0.0030588,,,,,,,,,
,,,,,99.42529,0.0055294,,,,,,,,,
,,,,,6.32184,0.0014118,,,,,,,,,
,,,,,hrs,700C,,,,,,,,,
,,,,,29.88506,0.0004706,,,,,,,,,
,,,,,44.25287,0.0005882,,,,,,,,,
,,,,,70.11494,0.0008824,,,,,,,,,
,,,,,87.35632,0.0011176,,,,,,,,,
,,,,,98.85057,0.0011765,,,,,,,,,
,,,,,6.6092,0.0001765,,,,,,,,,
,,,,,15.22989,0.0002353,,,,,,,,,
,,,,,51.14943,0.0007059,,,,,,,,,
,,,,,76.72414,0.001,,,,,,,,,
7,Cr2AlC,2.83,2.83,12.6,hrs,900C,1.87,2.55,5.45,,0.8175,142.98,0.0057,-0.173 eV/atom,0.0954
,,,,,10.06036,0.001241,,,,,,,,,
,,,,,13.27968,0.0015108,,,,,,,,,
,,,,,17.30382,0.0017266,,,,,,,,,
,,,,,22.1328,0.0018345,,,,,,,,,
,,,,,27.7666,0.0019424,,,,,,,,,
,,,,,35.81489,0.0021583,,,,,,,,,
,,,,,39.03421,0.0022122,,,,,,,,,
,,,,,5.31187,0.0005396,,,,15 mm* 10 mm *1000nm,,,,,
,,,,,3.13883,0.0003237,,,,,,,,,
,,,,,hrs,1000C,,,,,,,,,
,,,,,2.57545,0.0007014,,,,,,,,,
,,,,,6.5996,0.0022122,,,,,,,,,
,,,,,11.50905,0.0033993,,,,,,,,,
,,,,,15.5332,0.0043705,,,,,,,,,
,,,,,21.167,0.0052338,,,,,,,,,
,,,,,26.8008,0.0056655,,,,,,,,,
,,,,,30.82495,0.0058813,,,,,,,,,
,,,,,34.84909,0.0061511,,,,,,,,,
,,,,,38.87324,0.0064209,,,,,,,,,
,,,,,hrs,1100C,,,,,,,,,
,,,,,0.80483,0.0011331,,,,,,,,,
,,,,,2.41449,0.0038309,,,,,,,,,
,,,,,3.54125,0.0054496,,,,,,,,,
,,,,,6.76056,0.0076619,,,,,,,,,
,,,,,11.58954,0.0093345,,,,,,,,,
,,,,,16.57948,0.0106835,,,,,,,,,
,,,,,22.93763,0.0132734,,,,,,,,,
,,,,,22.93763,0.0132734,,,,,,,,,
,,,,,34.20523,0.0141906,,,,,,,,,
,,,,,38.63179,0.0148381,,,,,,,,,
,,,,,19.15493,0.0113309,,,,,,,,,
8,Nb4AlC3,3.16,3.16,24.37,hrs,800C,1.9575,2.55,6.85,4 mm × 3 mm × 8 mm,657.6,434.64,1.513,-0.519 eV/atom,75.76
,,,,,3.06839,0.58127,,,,,,,,,
,,,,,1.95933,0.36861,,,,,,,,,
,,,,,1.14603,0.20734,,,,,,,,,
,,,,,1.51571,0.28,,,,,,,,,
,,,,,0.55453,0.08861,,,,,,,,,
,,,,,2.25508,0.43772,,,,,,,,,
,,,,,2.62477,0.49443,,,,,,,,,
,,,,,4.02957,0.68759,,,,,,,,,
9,Nb2SnC,3.28,3.28,13.77,hrs,600C,1.9275,2.55,8.18,8*5*2mm3,654.4,316.53,2.067,-0.413 eV/atom,82.362
,,,,,1.41,0.75728,,,,,,,,,
,,,,,1.57,0.90874,,,,,,,,,
,,,,,1.766,1.07476,,,,,,,,,
,,,,,2.0745,1.21165,,,,,,,,,
,,,,,1.118,0.53592,,,,,,,,,
,,,,,0.567,0.27961,,,,,,,,,
,,,,,0.2917,0.14272,,,,,,,,,
,,,,,2.431,1.33689,,,,,,,,,
,,,,,3.14,1.36019,,,,,,,,,
,,,,,4.3598,1.39223,,,,,,,,,
,,,,,5.478,1.42136,,,,,,,,,
,,,,,6.7098,1.42136,,,,,,,,,
,,,,,7.76,1.42718,,,,,,,,,
,,,,,hrs,500C,,,,,,,,,
,,,,,1.231766667,0.06699,,,,,,,,,
,,,,,1.961102167,0.14854,,,,,,,,,
,,,,,2.139384167,0.42233,,,,,,,,,
,,,,,2.317666167,0.69029,,,,,,,,,
,,,,,2.431118333,0.92039,,,,,,,,,
,,,,,2.690437667,1.15922,,,,,,,,,
,,,,,2.706645,1.26699,,,,,,,,,
,,,,,3.500810333,1.37476,,,,,,,,,
,,,,,4.246353333,1.36602,,,,,,,,,
,,,,,5.47812,1.39515,,,,,,,,,
,,,,,6.288492667,1.39223,,,,,,,,,
,,,,,7.196110167,1.40388,,,,,,,,,
,,,,,7.8444085,1.40388,,,,,,,,,
,,,,,0.761750333,0.06699,,,,,,,,,
10,Hf2SnC,3.33,3.33,14.42,hrs,600C,1.7775,2.55,11.72,8*5*2mm3,937.6,487.7,1.922,-0.771 eV/atom,142.97
,,,,,0.9836065,0.16393,,,,,,,,,
,,,,,1.281669167,0.26958,,,,,,,,,
,,,,,1.579731667,0.37523,,,,,,,,,
,,,,,2.056631833,0.52277,,,,,,,,,
,,,,,2.3546945,0.63206,,,,,,,,,
,,,,,2.652757,0.72495,,,,,,,,,
,,,,,3.2786885,0.85974,,,,,,,,,
,,,,,3.576751167,0.91803,,,,,,,,,
,,,,,6.348733167,0.92714,,,,,,,,,
,,,,,8.137108833,0.92896,,,,,,,,,
,,,,,9.627421833,0.93443,,,,,,,,,
,,,,,10.5216095,0.93807,,,,,,,,,
,,,,,12.30998517,0.93807,,,,,,,,,
,,,,,14.39642317,0.94171,,,,,,,,,
,,,,,hrs,500C,,,,,,,,,
,,,,,1.6691505,0.0765,,,,,,,,,
,,,,,3.338301,0.23862,,,,,,,,,
,,,,,4.2026825,0.35883,,,,,,,,,
,,,,,4.2026825,0.35155,,,,,,,,,
,,,,,4.977645333,0.4663,,,,,,,,,
,,,,,6.4977645,0.58106,,,,,,,,,
,,,,,7.958271167,0.64117,,,,,,,,,
,,,,,7.958271167,0.63206,,,,,,,,,
,,,,,10.04470933,0.63024,,,,,,,,,
,,,,,11.53502233,0.63024,,,,,,,,,
,,,,,13.02533533,0.63024,,,,,,,,,
,,,,,14.33681067,0.64481,,,,,,,,,
,,,,,15.52906117,0.63934,,,,,,,,,
,,,,,16.7213115,0.64299,,,,,,,,,
,,,,,2.622950833,0.12568,,,,,,,,,
11,Ta2AlC,3.08,3.08,13.93,hrs,800C,1.79,2.55,11.63,3 × 4.5 × 12.5 mm,1962.5625,400.89,4.8955,-0.519 eV/atom,245.133
,,,,,2.90488,0.04653,,,,,,,,,
,,,,,3.93316,0.06238,,,,,,,,,
,,,,,4.70437,0.07376,,,,,,,,,
,,,,,5.47558,0.08515,,,,,,,,,
,,,,,7.01799,0.10743,,,,,,,,,
,,,,,8.04627,0.12178,,,,,,,,,
,,,,,1.00257,0.01584,,,,,,,,,
,,,,,1.77378,0.02822,,,,,,,,,
,,,,,hrs,700C,,,,,,,,,
,,,,,1.28535,0.00297,,,,,,,,,
,,,,,1.79949,0.00396,,,,,,,,,
,,,,,2.57069,0.00495,,,,,,,,,
,,,,,3.67609,0.00693,,,,,,,,,
,,,,,5.21851,0.0099,,,,,,,,,
,,,,,6.76093,0.01337,,,,,,,,,
,,,,,7.89203,0.01634,,,,,,,,,
,,,,,8.92031,0.01881,,,,,,,,,
,,,,,9.94859,0.02129,,,,,,,,,
,,,,,hrs,600C,,,,,,,,,
,,,,,1.23393,0.00149,,,,,,,,,
,,,,,2.26221,0.00198,,,,,,,,,
,,,,,3.29049,0.00248,,,,,,,,,
,,,,,4.57584,0.00297,,,,,,,,,
,,,,,5.86118,0.00396,,,,,,,,,
,,,,,6.91517,0.00446,,,,,,,,,
,,,,,7.94344,0.00495,,,,,,,,,
,,,,,8.97172,0.00545,,,,,,,,,
,,,,,9.74293,0.00594,,,,,,,,,
