s.no,max phase,a,b,c,EN_a,EN_b,EN_c,avg EN,total mass,E_coh,VEC,del_h,Tm_a,Tm_b,Tm_c,Tm_avg
1,Ti3AlC2,3.07,3.07,18.62,1.54,1.61,2.55,1.88,810,525500,3.833,-73526.56872,1668,660.3,4099,2310.38
2,Ti2GeC,3.09,3.09,12.92,1.54,2.01,2.55,1.91,899.2,504750,4,-78061.67204,1668,938.2,4099,"2,093.30"
3,Ti3SiC2,3.07,3.07,17.69,1.54,1.9,2.55,1.93,540,545333,4,-78351.14672,1668,1414,4099,"2,436"
4,Ti2AlC,3.06,3.06,13.69,1.54,1.61,2.55,1.81,173.215,493500,3.75,-67544.092,1668,660.3,4099,"2,023.83"
5,Ti3GeC2,3.09,3.09,17.81,1.54,2.01,2.55,1.955,173.12,533000,4,-81052.9104,1668,938.2,4099,"2,356.70"
6,Ti2AlN,2.98,2.98,13.62,1.54,1.61,3.04,1.9325,9.526,434250,4,-124088.1462,1668,660.3,-209.9,946.6
7,Cr2AlC,2.83,2.83,12.6,1.66,1.61,2.55,1.87,0.8175,457000,4.75,-16693.03988,1907,660.3,4099,"2,143.33"
8,Nb4AlC3,3.16,3.16,24.37,1.6,1.61,2.55,1.9575,657.6,672500,4.375,-50079.11964,2477,660.3,4099,"2,858.16"
9,Nb2SnC,3.28,3.28,13.77,1.6,1.96,2.55,1.9275,654.4,618500,4.5,-39851.01428,2477,231.9,4099,"2,321.23"
10,Hf2SnC,3.33,3.33,14.42,1.3,1.96,2.55,1.7775,937.6,564000,4,-74394.99276,2233,231.9,4099,"2,199.23"
11,Ta2AlC,3.08,3.08,13.93,1.5,1.61,2.55,1.79,1962.5625,650500,4.25,-50079.11964,3017,660.3,4099,"2,698.33"
