max phase,temp,time,del_m
Ti3AlC2,1400,3.81166,0.0168
Ti3AlC2,1400,6.50224,0.0216
Ti3AlC2,1400,8.29596,0.0241
Ti3AlC2,1400,10.53812,0.0269
Ti3AlC2,1400,13.2287,0.0295
Ti3AlC2,1400,15.02242,0.0315
Ti3AlC2,1400,16.81614,0.0325
Ti3AlC2,1400,18.16143,0.0336
Ti3AlC2,1400,0.58296,0.0055
Ti3AlC2,1400,1.47982,0.01
Ti3AlC2,1400,2.37668,0.01292
Ti3AlC2,1300,9.77578,0.0070833
Ti3AlC2,1300,12.46637,0.0078125
Ti3AlC2,1300,15.15695,0.0084375
Ti3AlC2,1300,17.3991,0.0088542
Ti3AlC2,1300,18.74439,0.0090625
Ti3AlC2,1300,0.58296,0.0020833
Ti3AlC2,1300,2.37668,0.0039583
Ti3AlC2,1300,5.5157,0.0057292
Ti3AlC2,1300,7.30942,0.0063542
Ti3AlC2,1300,7.30942,0.0063542
Ti3AlC2,1300,7.30942,0.0063542
Ti3AlC2,1200,1.43498,0.0019792
Ti3AlC2,1200,2.78027,0.0028125
Ti3AlC2,1200,4.12556,0.0033333
Ti3AlC2,1200,5.47085,0.0036458
Ti3AlC2,1200,6.81614,0.0039583
Ti3AlC2,1200,8.60987,0.0042708
Ti3AlC2,1200,9.95516,0.0045833
Ti3AlC2,1200,12.19731,0.005
Ti3AlC2,1200,13.99103,0.0052083
Ti3AlC2,1200,16.23318,0.0055208
Ti3AlC2,1200,18.02691,0.005625
Ti3AlC2,1000,1.30045,0.0007292
Ti3AlC2,1000,2.19731,0.0008333
Ti3AlC2,1000,3.5426,0.0010417
Ti3AlC2,1000,5.33632,0.00125
Ti3AlC2,1000,7.35426,0.0014583
Ti3AlC2,1000,10.04484,0.0016667
Ti3AlC2,1000,11.83857,0.0017708
Ti3AlC2,1000,14.97758,0.001875
Ti3AlC2,1000,17.21973,0.001875
Ti3AlC2,1000,19.46188,0.0019792
Ti3AlC2,1000,19.46188,0.0019792
Ti2GeC,800,89.76378,0.04406
Ti2GeC,800,137.00787,0.06516
Ti2GeC,800,184.25197,0.08578
Ti2GeC,800,207.87402,0.09281
Ti2GeC,800,229.13386,0.09891
Ti2GeC,800,252.75591,0.10875
Ti2GeC,800,106.29921,0.05203
Ti2GeC,800,73.22835,0.03609
Ti2GeC,800,35.43307,0.01922
Ti2GeC,800,59.05512,0.02859
Ti2GeC,800,132.28346,0.06328
Ti2GeC,700,247.05882,0.03529
Ti2GeC,700,270.58824,0.03812
Ti2GeC,700,327.05882,0.04612
Ti2GeC,700,350.58824,0.04988
Ti2GeC,700,383.52941,0.05553
Ti2GeC,700,454.11765,0.06776
Ti2GeC,700,477.64706,0.072
Ti2GeC,700,411.76471,0.06024
Ti2GeC,700,411.76471,0.06024
Ti2GeC,700,411.76471,0.06024
Ti2GeC,700,411.76471,0.06024
Ti2GeC,600,185.44601,0.00562
Ti2GeC,600,279.34272,0.00562
Ti2GeC,600,302.8169,0.00562
Ti2GeC,600,396.71362,0.00562
Ti2GeC,600,124.41315,0.00562
Ti2GeC,600,107.98122,0.00422
Ti2GeC,600,72.76995,9.38E-04
Ti2GeC,600,96.24413,0.00328
Ti2GeC,600,15.81152,0.68966
Ti2GeC,600,17.8534,0.72727
Ti2GeC,600,18.84817,0.74922
Ti3SiC2,1200,8.16754,0.24451
Ti3SiC2,1200,12.19895,0.33542
Ti3SiC2,1200,12.72251,0.34796
Ti3SiC2,1200,16.43979,0.4232
Ti3SiC2,1200,18.2199,0.45455
Ti3SiC2,1200,5.60209,0.17555
Ti3SiC2,1200,2.72251,0.10031
Ti3SiC2,1200,10.05236,0.2884
Ti3SiC2,1000,8.45953,0.02208
Ti3SiC2,1000,7.93734,0.02208
Ti3SiC2,1000,6.89295,0.01893
Ti3SiC2,1000,6.37076,0.01577
Ti3SiC2,1000,5.84856,0.01893
Ti3SiC2,1000,5.84856,0.01893
Ti3SiC2,1000,5.84856,0.01893
Ti3SiC2,1000,5.84856,0.01893
Ti3SiC2,1100,8.48168,0.11285
Ti3SiC2,1100,14.18848,0.15047
Ti3SiC2,1100,11.46597,0.13166
Ti3SiC2,1100,16.70157,0.16301
Ti3SiC2,1100,5.70681,0.08777
Ti3SiC2,1100,18.32461,0.17241
Ti3SiC2,1100,3.56021,0.00313
Ti3SiC2,1100,9.73822,0.00313
Ti3SiC2,900,7.19332,0.00313
Ti3SiC2,900,10.86874,0.00627
Ti3SiC2,900,11.91885,0.00627
Ti3SiC2,900,12.96897,0.00627
Ti3SiC2,900,14.54415,0.0094
Ti3SiC2,900,15.59427,0.0094
Ti3SiC2,900,16.64439,0.0094
Ti3SiC2,900,18.53461,0.01254
Ti2AlC,1000,6.18687,0.0821
Ti2AlC,1000,11.55303,0.12123
Ti2AlC,1000,13.44697,0.13043
Ti2AlC,1000,14.07828,0.13581
Ti2AlC,1000,15.97222,0.14425
Ti2AlC,1000,17.42424,0.15192
Ti2AlC,1000,18.68687,0.15882
Ti2AlC,1000,20.58081,0.16573
Ti2AlC,1000,22.15909,0.17494
Ti2AlC,1000,23.42172,0.17877
Ti2AlC,1000,1.83081,0.03223
Ti2AlC,1000,2.46212,0.04143
Ti2AlC,1000,4.35606,0.06368
Ti2AlC,1000,8.71212,0.10128
Ti2AlC,800,16.60354,0.01688
Ti2AlC,800,18.49747,0.01688
Ti2AlC,800,20.39141,0.01688
Ti2AlC,800,21.02273,0.01765
Ti2AlC,800,10.4798,0.01151
Ti2AlC,800,12.37374,0.01304
Ti2AlC,800,13.63636,0.01228
Ti2AlC,800,14.89899,0.01304
Ti2AlC,800,5.36616,0.00384
Ti2AlC,800,5.99747,0.0046
Ti2AlC,800,7.2601,0.0046
Ti2AlC,800,8.64899,0.00691
Ti2AlC,800,22.7904,0.02072
Ti2AlC,800,23.42172,0.02148
Ti2AlC,800,23.42172,0.02148
Ti2AlC,800,23.42172,0.02148
Ti2AlC,800,23.42172,0.02148
Ti2AlC,1100,5.49242,0.1335
Ti2AlC,1100,9.2803,0.17877
Ti2AlC,1100,12.43687,0.2133
Ti2AlC,1100,17.99242,0.2578
Ti2AlC,1100,19.88636,0.26854
Ti2AlC,1100,21.14899,0.27928
Ti2AlC,1100,22.41162,0.28772
Ti2AlC,1100,2.2096,0.06598
Ti2AlC,1100,3.47222,0.10205
Ti2AlC,1100,1.19949,0.03376
Ti2AlC,1100,16.28788,0.24629
Ti2AlC,1100,8.20707,0.16419
Ti2AlC,1100,10.98485,0.19719
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,1100,14.20455,0.23248
Ti2AlC,900,5.17677,0.02379
Ti2AlC,900,2.14646,0.01151
Ti2AlC,900,6.94444,0.03223
Ti2AlC,900,10.10101,0.0445
Ti2AlC,900,11.36364,0.05064
Ti2AlC,900,12.62626,0.05448
Ti2AlC,900,13.25758,0.05831
Ti2AlC,900,14.5202,0.06138
Ti2AlC,900,16.98232,0.07059
Ti2AlC,900,18.87626,0.07596
Ti2AlC,900,19.50758,0.07826
Ti2AlC,900,20.13889,0.0798
Ti2AlC,900,21.40152,0.08286
Ti2AlC,900,22.03283,0.08517
Ti2AlC,900,23.29545,0.0867
Ti2AlC,900,7.70202,0.03453
Ti2AlC,900,8.33333,0.03683
Ti2AlC,800,18.56061,0.0435811
Ti2AlC,800,8.25758,0.0265541
Ti2AlC,800,11.36364,0.0310135
Ti2AlC,800,12.12121,0.0308108
Ti2AlC,800,19.92424,0.0512838
Ti2AlC,800,6.9697,0.0227027
Ti2AlC,800,16.13636,0.0405405
Ti2AlC,800,16.13636,0.0397297
Ti2AlC,800,25.68182,0.0595946
Ti2AlC,800,13.71212,0.0370946
Ti2AlC,800,3.71212,0.0184459
Ti2AlC,800,22.04545,0.0563514
Ti2AlC,700,16.06061,0.0210811
Ti2AlC,700,18.0303,0.0210811
Ti2AlC,700,25.98485,0.0206757
Ti2AlC,700,21.66667,0.0194595
Ti2AlC,700,30.68182,0.0208784
Ti2AlC,700,35.30303,0.0208784
Ti2AlC,700,4.84848,0.0121622
Ti2AlC,700,7.12121,0.0147973
Ti2AlC,700,2.19697,0.009527
Ti2AlC,700,10.68182,0.0180405
Ti2AlC,700,10.68182,0.0180405
Ti2AlC,700,10.68182,0.0180405
Ti3GeC2,900,8.40909,0.01098649
Ti3GeC2,900,3.25758,0.0689189
Ti3GeC2,900,1.36364,0.0308108
